pid - plain text,year,dept,,
137407,1929,Department of Latin.,,
137410,1929,Department of English.,,
137416,1929,Department of Psychology.,,
137419,1929,Department of English.,,
137448,1929,Department of Economics.,,
137450,1929,Department of Economics.,,
137452,1929,Department of Plant Pathology.,,
137455,1929,Department of Geological Sciences.,,
137458,1929,Department of French.,,
137462,1929,Department of Psychology.,,
137464,1929,Department of Economics & Political Science.,,
137466,1929,Department of Chemistry.,,
137468,1929,Department of Agronomy.,,
137470,1929,Department of Chemistry.,,
137546,1929,Department of Chemistry.,,
137551,1929,Department of History.,,
137557,1929,Department of Chemistry.,,
137567,1929,Department of Economics.,,
137582,1929,Department of Agricultural Chemistry.,,
137590,1929,Department of Chemistry.,,
137614,1929,Department of Physics.,,
137616,1929,Department of Physiology.,,
137620,1929,Department of Commerce.,,
139460,1929,Department of Chemistry.,,
139462,1929,Department of Chemistry.,,
139466,1929,Department of History.,,
139468,1929,Department of Sociology.,,
139470,1929,Department of Economics & Political Science.,,
136540,1930,Department of Economics.,,
136542,1930,Department of Physiology.,,
136544,1930,Department of Physiology.,,
136985,1930,Department of Chemistry.,,
136988,1930,Department of Psychology.,,
136991,1930,Department of Economics.,,
136995,1930,Department of Chemistry.,,
136999,1930,Department of Chemistry.,,
137003,1930,,,
137013,1930,Department of Physics.,,
137017,1930,Department of Plant Pathology.,,
137020,1930,Department of Latin.,,
137022,1930,Department of Philosophy.,,
137024,1930,Department of Physiology.,,
137026,1930,Department of Physics.,,
137028,1930,Department of English.,,
137030,1930,Departments of Economics & Political Science.,,
137032,1930,Department of Biochemistry.,,
137034,1930,Department of English.,,
137036,1930,Department of Physiology.,,
137038,1930,Department of Chemistry.,,
137040,1930,Department of Neurosurgery.,,
137042,1930,Department of English.,,
137044,1930,Department of English.,,
137046,1930,Department of Economics.,,
137052,1930,Department of English.,,
137058,1930,Department of English.,,
137061,1930,Department of Chemistry.,,
137065,1930,Department of Economics and Political Science.,,
137067,1930,Department of French.,,
137082,1930,Department of English.,,
137087,1930,Department of Geological Sciences.,,
137089,1930,Department of MiningEngineering.,,
137094,1930,Department of Zoology.,,
137113,1930,Department of Chemistry.,,
137115,1930,Department of Physiology.,,
137134,1930,Department of Sociology.,,
137148,1930,Department of Chemistry.,,
137174,1930,Department of Zoology.,,
137176,1930,Department of Economics.,,
137180,1930,Department of Physics.,,
137183,1930,Department of Engineering.,,
137185,1930,Department of Economics.,,
137188,1930,Department of Physics.,,
137236,1930,Department of Chemistry.,,
137240,1930,Department of French.,,
137242,1930,Department of History.,,
137246,1930,Department of Classics.,,
137274,1930,Department of Chemistry.,,
137277,1930,Department of Physics.,,
137279,1930,Department of Economics.,,
137286,1930,Department of Psychology.,,
136347,1931,Department of Geological Sciences.,,
136349,1931,Department of Chemistry.,,
136352,1931,Departments of Economics and Political Science.,,
136354,1931,Departments of Economics & Political Science.,,
136356,1931,Department of Entomology.,,
136358,1931,Department of Chemistry.,,
136360,1931,Department of History.,,
136362,1931,Department of Sociology.,,
136364,1931,Department of Sociology.,,
136366,1931,Department of Mining Engineering.,,
136368,1931,Department of Bacteriology.,,
136371,1931,Department of Chemistry.,,
136373,1931,Department of Chemistry.,,
136375,1931,Department of English.,,
136377,1931,Department of Chemistry.,,
136379,1931,Department of English.,,
136381,1931,Department of Physics.,,
136383,1931,Departments of Economics & Political Science.,,
136386,1931,Departments of Economics & Political Science.,,
136389,1931,Department of Chemistry.,,
136391,1931,Departments of Economics & Political Science.,,
136393,1931,Department of Physics.,,
136395,1931,Department of Physiology.,,
136400,1931,Department of Chemistry.,,
136402,1931,Department of French.,,
136405,1931,Department of Chemistry.,,
136407,1931,Departments of Economics & Political Science.,,
136410,1931,Department of Mining Engineering.,,
136413,1931,Department of Psychology.,,
136416,1931,Department of Chemistry.,,
136419,1931,Department of Psychology.,,
136425,1931,Department of Hydraulics,,
136427,1931,Department of Chemistry.,,
136430,1931,Department of Pharmacology.,,
136438,1931,Department of Civil Engineering & Applied Mechanics.,,
136441,1931,Department of English.,,
136443,1931,Department of English.,,
136446,1931,Department of French.,,
136451,1931,Department of French.,,
136453,1931,Department of Latin.,,
136455,1931,Department of Education.,,
136457,1931,Department of Physiology.,,
136459,1931,Department of Geological Sciences.,,
136461,1931,Department of Physics.,,
136463,1931,Department of Plant Pathology.,,
136465,1931,Department of Plant Pathology.,,
136467,1931,Department of English.,,
136469,1931,Department of Physics.,,
136471,1931,Department of Chemistry.,,
136473,1931,Department of Mathematics.,,
136476,1931,Department of Bacteriology.,,
136479,1931,Department of French.,,
136482,1931,Department of Experimental Medicine.,,
136484,1931,Department of French.,,
136486,1931,Department of Economics & Political Science.,,
136488,1931,Department of Psychology.,,
136490,1931,Department of Philosophy.,,
136493,1931,Department of Zoology.,,
136495,1931,Department of Experimental Medicine.,,
136497,1931,Department of English.,,
136500,1931,Department of English.,,
136502,1931,Department of Hydraulics.,,
136504,1931,Department of Chemistry.,,
136507,1931,Department of French.,,
136509,1931,Department of French.,,
136511,1931,Department of Economics & Political Science.,,
136513,1931,Department of Bacteriology.,,
136515,1931,Department of Oriental Languages.,,
136517,1931,Department of English.,,
136519,1931,Department of Botany.,,
136521,1931,Department of Physiology.,,
136524,1931,Department of French.,,
136526,1931,Department of Economics & Political Science.,,
136528,1931,Department of Economics & Political Science.,,
136530,1931,Department of Biochemistry.,,
136532,1931,Department of Chemistry.,,
136534,1931,Department of Chemistry.,,
136536,1931,Department of English.,,
136538,1931,Department of Biochemistry.,,
135011,1932,Department of Experimental Medicine.,,
135026,1932,Department of Plant Pathology.,,
135030,1932,Department of Chemistry.,,
135034,1932,Department of Chemistry.,,
135036,1932,Department of Economics.,,
135038,1932,Department of Economics.,,
135041,1932,Department of Chemistry.,,
135047,1932,Department of Chemistry.,,
135050,1932,Department of Chemistry.,,
135061,1932,Department of Chemistry.,,
135063,1932,Department of Chemistry.,,
135065,1932,Department of History.,,
135067,1932,Department of Physiology.,,
135069,1932,Department of Plant Pathology.,,
135071,1932,Department of Geological Sciences.,,
135073,1932,Department of History.,,
135084,1932,Department of Electrical Engineering.,,
135118,1932,Department of Physics.,,
135120,1932,Department of History.,,
135122,1932,Department of Botany.,,
135124,1932,Department of Chemistry.,,
135126,1932,Department of Chemistry.,,
135128,1932,Department of Experimental Medicine.,,
135130,1932,Department of Geological Sciences.,,
135155,1932,Department of French.,,
135157,1932,Department of Chemistry.,,
135159,1932,Department of Biochemistry.,,
135161,1932,Department of Physics.,,
135163,1932,Department of English.,,
135165,1932,Department of Chemistry.,,
135169,1932,Department of Plant Pathology.,,
135171,1932,Department of Education.,,
135180,1932,Department of Sociology.,,
135184,1932,Department of Chemistry.,,
135187,1932,Department of Physics.,,
135189,1932,Department of Education.,,
135191,1932,Department of Chemistry.,,
135194,1932,Department of French.,,
135259,1932,Department of English.,,
135261,1932,Department of French.,,
135263,1932,Department of Physics.,,
135266,1932,Department of Engineering.,,
135268,1932,Department of Economics.,,
135270,1932,Department of English.,,
135272,1932,Department of English.,,
135274,1932,Department of Agricultural Bacteriology.,,
135276,1932,Department of Experimental Medicine.,,
135278,1932,Department of Chemistry.,,
135280,1932,Department of Physiology.,,
136203,1932,Department of Education.,,
136205,1932,Department of Chemistry.,,
136207,1932,Department of Engineering.,,
136209,1932,Department of History.,,
136211,1932,Department of Economics.,,
136214,1932,Department of Chemistry.,,
136225,1932,Department of Sociology.,,
136273,1932,Department of History.,,
136275,1932,Department of Economics.,,
136277,1932,Department of History.,,
136279,1932,Department of Economics.,,
136281,1932,Department of Entomology.,,
136283,1932,Department of Physiology.,,
136285,1932,Department of English.,,
136287,1932,Department of Biochemistry.,,
136289,1932,Department of French.,,
136291,1932,Department of Chemistry.,,
136294,1932,Department of Civil Engineering & Applied Mechanics.,,
136296,1932,Department of Economics.,,
136298,1932,Department of Agronomy.,,
136300,1932,Department of Entomology.,,
136302,1932,Department of Industrial Engineering.,,
136304,1932,Department of Chemistry.,,
136306,1932,Department of Chemistry.,,
136308,1932,Department of Electrical Engineering.,,
136310,1932,Department of Biochemistry.,,
136312,1932,Department of Bacteriology.,,
136314,1932,Department of Economics.,,
136320,1932,Department of Economics.,,
136322,1932,Department of Botany.,,
136324,1932,Department of Civil Engineering & Applied Mechanics.,,
136326,1932,Department of Sociology.,,
136328,1932,Department of Geological Sciences.,,
136330,1932,Department of Entomology.,,
136332,1932,Department of Biochemistry.,,
136334,1932,Department of Education.,,
136336,1932,Department of Civil Engineering & Applied Mechanics.,,
136338,1932,Department of Metallurgical Engineering.,,
134305,1933,Department of Physics.,,
134341,1933,Department of Botany.,,
134344,1933,Department of Economics.,,
134346,1933,Department of Chemistry.,,
134348,1933,Department of History.,,
134350,1933,Department of Chemistry.,,
134352,1933,Department of Agricultural Chemistry.,,
134398,1933,Department of Biochemistry.,,
134400,1933,Department of Philosophy.,,
134402,1933,Department of Chemistry.,,
134404,1933,Department of Economics.,,
134406,1933,Department of Chemistry.,,
134408,1933,Department of Education.,,
134410,1933,Department of Economics.,,
134412,1933,Department of Chemistry.,,
134414,1933,Department of English.,,
134416,1933,Department of German.,,
134428,1933,Department of Geology.,,
134483,1933,Department of Economics.,,
134490,1933,Department of Engineering.,,
134504,1933,Department of Experimental Medicine.,,
134506,1933,Department of Zoology.,,
134508,1933,Department of Chemistry.,,
134510,1933,Department of Engineering.,,
134512,1933,Department of Engineering.,,
134515,1933,Department of Plant Pathology.,,
134518,1933,Department of Chemistry.,,
134520,1933,Department of Geology.,,
134524,1933,Department of Botany.,,
134540,1933,Department of Bacteriology.,,
134542,1933,Department of Economics.,,
134547,1933,Department of Chemistry.,,
134549,1933,Department of Engineering.,,
134576,1933,Department of Physics.,,
134578,1933,Department of Geology.,,
134580,1933,Department of Engineering.,,
134582,1933,Department of Chemistry.,,
134584,1933,Department of Chemistry.,,
134587,1933,Department of Chemistry.,,
134589,1933,,,
134593,1933,Department of Economics.,,
134595,1933,Department of Chemistry.,,
134597,1933,Department of Chemistry.,,
134602,1933,Department of French.,,
134604,1933,Department of Physics.,,
134607,1933,Department of English.,,
134609,1933,Department of Botany.,,
134613,1933,Department of Chemistry.,,
134615,1933,Department of Chemistry.,,
134617,1933,Department of Psychology.,,
134619,1933,Department of Chemistry.,,
134621,1933,Department of Chemistry.,,
134685,1933,Department of English.,,
134688,1933,Department of English.,,
134692,1933,Department of Experimental Medicine.,,
134717,1933,Department of English.,,
134719,1933,Department of Agronomy.,,
134721,1933,Department of Chemistry.,,
134723,1933,Department of English.,,
134725,1933,Department of Chemistry.,,
134727,1933,Department of Chemistry.,,
134729,1933,Department of Pathology.,,
134731,1933,Department of Education.,,
134734,1933,Department of Chemistry.,,
134736,1933,Department of Chemistry.,,
134738,1933,Department of Oriental Studies.,,
134740,1933,Department of Experimental Medicine.,,
134742,1933,Department of Chemistry.,,
134769,1933,Department of Sociology.,,
134771,1933,Department of French.,,
134773,1933,Department of English.,,
134775,1933,Department of Engineering.,,
134777,1933,Department of Geological Sciences.,,
134779,1933,Department of Sociology.,,
134781,1933,Department of Physics.,,
134783,1933,Department of Economics.,,
134785,1933,Department of Chemistry.,,
134787,1933,Department of English.,,
134789,1933,Department of Physics.,,
134800,1933,Department of Engineering.,,
134803,1933,Department of Chemistry.,,
134816,1933,Department of Chinese Studies.,,
134818,1933,Department of Physiology.,,
134820,1933,Department of Geological Sciences.,,
134832,1933,Department of Chemistry.,,
134834,1933,Department of Geology.,,
134897,1933,Department of Sociology.,,
134899,1933,Department of Botany.,,
134901,1933,Department of Engineering.,,
134903,1933,Department of Economics.,,
134905,1933,Department of Physiology.,,
134907,1933,Department of Physics.,,
134909,1933,Department of Economics.,,
134911,1933,Department of Chemistry.,,
134913,1933,Department of Engineering.,,
134919,1933,Department of Geology.,,
134922,1933,Department of Zoology.,,
134926,1933,Department of Chemistry.,,
134930,1933,Department of Metallurgy.,,
134937,1933,Department of Chemistry.,,
134999,1933,Department of Oriental Languages.,,
135001,1933,Department of Biochemistry.,,
135003,1933,Department of English.,,
135005,1933,Department of Sociology.,,
135007,1933,Department of Science.,,
135009,1933,Department of Geology.,,
135086,1933,Department of Psychology.,,
135088,1933,Department of Sociology.,,
135090,1933,Department of Economics.,,
135092,1933,Department of Experimental Medicine and Surgery.,,
129198,1934,Department of English.,,
133368,1934,Department of Engineering and Applied Mechanics,,
133774,1934,Department of French.,,
133955,1934,Department of Psychology.,,
133956,1934,Zoology,,
133964,1934,Mining Engineering,,
133959,1934,Department of Zoology.,,
133962,1934,Department of Civil Engineering and Applied Mechanics.,,
133966,1934,Department of Mining Engineering.,,
133986,1934,Department of Education.,,
133988,1934,Department of Education.,,
133990,1934,Department of Engineering.,,
133992,1934,Department of Economics.,,
133995,1934,Department of Education.,,
133997,1934,Department of French.,,
133999,1934,Department of Chemistry.,,
134001,1934,Department of French.,,
134003,1934,Department of Mathematics.,,
134005,1934,Department of Agronomy.,,
134010,1934,Department of Agricultural Chemistry.,,
134012,1934,Department of English.,,
134014,1934,Department of Electrical Engineering.,,
134016,1934,Department of Chemistry.,,
134018,1934,Department of Psychology.,,
134020,1934,Department of Experimental Medicine.,,
134022,1934,Department of Agricultural Chemistry.,,
134049,1934,Department of Animal Nutrition and Breeding.,,
134051,1934,Department of Sociology.,,
134053,1934,Department of Economics.,,
134055,1934,Department of Chemistry.,,
134057,1934,Department of Physiology.,,
134059,1934,Department of Geological Sciences,,
134061,1934,Department of French.,,
134063,1934,Department of Botany.,,
134066,1934,Department of Chemistry.,,
134072,1934,Department of Chemistry.,,
134079,1934,Department of Chemistry.,,
134095,1934,Department of Civil Law.,,
134106,1934,Department of Civil Engineering & Applied Mechanics.,,
134132,1934,Department of Sociology.,,
134134,1934,Department of Engineering.,,
134136,1934,Department of Chemistry.,,
134140,1934,Department of Entomology.,,
134142,1934,Department of Chemistry.,,
134145,1934,Department of French.,,
134147,1934,Department of Civil Engineering and Applied Mechanics.,,
134149,1934,Department of Plant Pathology.,,
134210,1934,Department of Chemistry.,,
134212,1934,Department of Mechanical Engineering.,,
134214,1934,Department of Economics.,,
134216,1934,Department of Physiology.,,
134218,1934,Department of Chemistry.,,
134290,1934,Department of Experimental Medicine.,,
134292,1934,Department of Chemistry.,,
134294,1934,Department of French.,,
134296,1934,Department of Chemistry.,,
134298,1934,Department of Agronomy.,,
134301,1934,Department of Physical Education.,,
134307,1934,Department of Biochemistry.,,
134309,1934,Department of Chemistry.,,
134311,1934,Department of Chemistry.,,
134315,1934,Department of Chemistry.,,
134317,1934,Department of Chemistry.,,
134319,1934,Department of Chemistry.,,
134321,1934,Department of Geological Sciences.,,
134430,1934,Department of Economics.,,
134435,1934,Department of English.,,
134461,1934,Department of Physiology.,,
134463,1934,Department of Geology.,,
134465,1934,Department of Geological Sciences.,,
134467,1934,Department of Chemistry.,,
134623,1934,Department of English.,,
134627,1934,Department of History.,,
134629,1934,Department of Chemistry.,,
133367,1935,Department of English.,,
133372,1935,Department of Chemistry.,,
133369,1935,Department of Biochemistry.,,
133370,1935,Department of Chemistry.,,
133371,1935,Department of Biochemistry.,,
133543,1935,Department of Chemistry.,,
133544,1935,Department of English.,,
133545,1935,Department of French.,,
133546,1935,Department of English.,,
133547,1935,Department of English.,,
134732,1935,Department of Bacteriology.,,
133548,1935,Department of Sociology.,,
133549,1935,Department of French.,,
133551,1935,Department of Agronomy.,,
133555,1935,Department of Agricultural Chemistry.,,
133557,1935,Department of Chemistry.,,
133559,1935,Department of Chemistry.,,
133564,1935,Department of Chemistry.,,
133566,1935,Department of Chemistry.,,
133568,1935, Department of Parasitology.,,
133624,1935,Department of Animal Nutrition and Breeding.,,
133626,1935,Department of English.,,
133629,1935,Department of Neurology.,,
134047,1935,Psychology,,
134108,1935,French,,
134110,1935,Sociology,,
134113,1935,Chemistry,,
134116,1935,Psychology,,
134118,1935,Genetics,,
134120,1935,Economics,,
134153,1935,Department of Economics.,,
134155,1935,Department of Entomology.,,
134157,1935,Department of Classics.,,
134159,1935,Department of Geology.,,
134161,1935,Department of Metallurgy.,,
134163,1935,Department of Mining.,,
134166,1935,Department of Chemistry.,,
134168,1935,Chemistry.,,
134170,1935,Department of Engineering.,,
134172,1935,Department of German.,,
134174,1935,Department of Parasitology.,,
134176,1935,Department of Zoology.,,
134178,1935,Department of Physiology.,,
134180,1935,Department of Chemistry.,,
134182,1935,Department of Oriental Languages.,,
134184,1935,Department of Botany.,,
134186,1935,Department of Genetics.,,
134188,1935,Department of Geology.,,
134190,1935,Department of Chemistry.,,
134192,1935,Department of Chemistry.,,
134194,1935,Department of French.,,
134196,1935,Department of Chemistry.,,
134198,1935,Department of Chemistry.,,
134200,1935,Department of Physics.,,
134202,1935,Department of Economics.,,
134206,1935,Department of Geological Sciences.,,
134220,1935,Department of Biochemistry.,,
134231,1935,Department of Zoology.,,
134233,1935,Department of Physical Education.,,
134235,1935,Department of Geology.,,
134237,1935,Department of Physiology.,,
134239,1935,Department of Chemistry.,,
134241,1935,Department of Pharmacology.,,
134243,1935,Department of Chemistry.,,
134245,1935,Department of Psychology.,,
134247,1935,Department of Chemistry.,,
134249,1935,Department of History.,,
134251,1935,Department of Zoology.,,
134253,1935,Department of Entomology.,,
134354,1935,Department of Parasitology.,,
134356,1935,Department of Plant Pathology.,,
134358,1935,Department of Education.,,
134360,1935,Department of Chemistry.,,
134362,1935,Department of English.,,
134366,1935,Department of Chemistry.,,
134368,1935,Department of French.,,
134822,1935,Department of Botany.,,
134824,1935,Department of Chemistry.,,
134826,1935,Department of Economics.,,
134828,1935,Department of Chemistry.,,
134830,1935,Department of Chemistry.,,
132311,1936,Department of Economics.,,
132313,1936,Department of Psychology.,,
132315,1936,Department of Zoology.,,
132317,1936,Department of Chemistry.,,
132319,1936,Department of Chemistry.,,
132321,1936,Department of Classics.,,
132323,1936,Department of French.,,
132325,1936,Department of Physics.,,
132327,1936,Department of Biochemistry.,,
132329,1936,Department of Chemistry.,,
133254,1936,Department of French,,
133256,1936,Department of French,,
133258,1936,Department of Neurology and Neurosurgery,,
133260,1936,Department of English,,
133264,1936,Animal nutrition and breeding,,
133266,1936,English,,
133268,1936,Chemistry,,
133270,1936,French,,
133274,1936,Chemistry,,
133276,1936,Genetics,,
133279,1936,Neurology,,
133281,1936,Chemistry,,
133283,1936,Civil Engineering and Applied Mechanics,,
133285,1936,English,,
133287,1936,English,,
133289,1936,Chemistry,,
133291,1936,English,,
133293,1936,Philosophy,,
133296,1936,Economics,,
133298,1936,Metallurgical engineering,,
133300,1936,Civil engineering and applied mechanics,,
133302,1936,Mining engineering,,
133304,1936,Classics,,
133306,1936,Philosophy,,
133308,1936,Geology,,
133310,1936,Economics,,
133312,1936,Parasitology,,
133776,1936,Department of Chemistry.,,
133778,1936,Department of Agricultural Chemistry.,,
133780,1936,Department of Animal Nutrition and Breeding.,,
133784,1936,Department of Plant Pathology.,,
133786,1936,Department of Chemistry.,,
133788,1936,Department of Pscyhology.,,
133790,1936,Department of Experimental Medicine.,,
133792,1936,Department of Mining Engineering.,,
133794,1936,Department of Economics.,,
133796,1936,School of Physical Education.,,
133798,1936,Department of Entomology.,,
133800,1936,Department of Animal Nutrition and Breeding.,,
133802,1936,Department of Electrical Engineering.,,
133804,1936,Department of Chemistry.,,
133806,1936,Department of Genetics.,,
133944,1936,Department of Physics.,,
133946,1936,Department of Chemistry.,,
133948,1936,Department of Electrical Engineering.,,
133950,1936,Department of Chemistry.,,
133952,1936,Department of Geology.,,
133970,1936,Geology,,
133972,1936,Chemistry,,
133974,1936,Civil Engineering and Applied Mechanics,,
133976,1936,Chemistry,,
133978,1936,Chemistry,,
133980,1936,Physics,,
133982,1936,French,,
133985,1936,Entomology,,
134024,1936,English,,
134026,1936,Entomology,,
134030,1936,Civil Engineering and Applied Mechanics,,
134029,1936,Civil Engineering and Applied Mechanics,,
134032,1936,Agricultural Chemistry,,
134034,1936,Education,,
134036,1936,Neurology,,
134038,1936,English,,
132197,1937,Department of Geology.,,
132140,1937,Department of English,,
132141,1937,Department of Chemistry.,,
132142,1937,Department of Chemistry,,
132143,1937,Department of Biochemistry,,
132144,1937,Department of Agronomy.,,
132145,1937,Department of Biochemistry.,,
132146,1937,Department of French Language and Literature.,,
132147,1937,Department of Agricultural Chemistry.,,
132148,1937,Department of Botany.,,
132149,1937,Department of Neurology.,,
132179,1937,Department of Economics and Political Science.,,
132178,1937,Department of French Language and Literature.,,
132180,1937,Department of Zoology.,,
132181,1937,Department of French Language and Literature.,,
132182,1937,Department of Classics.,,
132183,1937,Department of Physiology.,,
132196,1937,Department of Horticulture-Botany,,
132198,1937,Department of Plant Pathology.,,
132222,1937,Department of Physics.,,
132223,1937,Department of Chemistry.,,
132224,1937,Department of Chemistry.,,
132225,1937,Department of French Language and Literature.,,
132226,1937,Department of Metallurgy.,,
132227,1937,Department of Botany.,,
132228,1937,Department of Entomology.,,
132229,1937,Department of Experimental Medicine.,,
132230,1937,Department of Chemistry.,,
132232,1937,Department of Agricultural Chemistry.,,
132234,1937,Department of Chemistry.,,
132236,1937,Department of French Language and Literature.,,
132238,1937,Department of Chemistry.,,
132240,1937,Department of Experimental Medicine.,,
132242,1937,Department of Metallurgy.,,
132244,1937,,,
132246,1937,Department of Economics.,,
132248,1937,Department of French Language and Literature.,,
132250,1937,Department of Agricultural Chemistry.,,
132252,1937,Department of English.,,
132254,1937,Department of Physics,,
132256,1937,Department of Geology.,,
132258,1937,Department of Chemistry.,,
132260,1937,Department of History.,,
132262,1937,Department of Plant Pathology.,,
132264,1937,Department of Chemistry.,,
132266,1937,Department of English.,,
132271,1937,Department of Geology.,,
132274,1937,Department of Chemistry.,,
132279,1937,Department of Physics.,,
132283,1937,Department of Geology,,
132288,1937,Department of Mining Engineering.,,
132292,1937,Department of English.,,
132296,1937,Department of Chemistry.,,
132299,1937,Department of History.,,
